feature,source,transformation,lookback,information_cutoff,target_dependency,future_dependency,status,reason
mkt_wti_usd_per_barrel_rmean_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_rstd_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_rmean_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_rstd_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_rmean_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_rstd_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_rmean_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_rstd_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_rmean_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_rstd_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_rmean_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_rstd_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_rmean_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_rstd_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_rmean_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_rstd_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_rmean_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_rstd_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_rmean_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_rstd_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_rmean_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_rstd_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_rmean_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_rstd_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_rmean_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_rstd_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_rmean_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_rstd_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_rmean_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_rstd_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_rmean_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_rstd_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_rmean_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_rstd_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_rmean_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_rstd_30,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_rmean_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_rstd_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_rmean_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_rstd_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_rmean_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_rstd_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_rmean_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_rstd_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_rmean_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_rstd_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_rmean_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_rstd_30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_chg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_pchg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_chg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_pchg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_chg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_usd_inr_pchg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_chg_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_pchg_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_chg_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_pchg_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_chg_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_brent_usd_per_barrel_pchg_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_chg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_pchg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_chg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_pchg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_chg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_wti_usd_per_barrel_pchg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_chg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_pchg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_chg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_pchg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_chg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_n10d_pchg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_chg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_pchg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_chg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_pchg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_chg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_gprd_pchg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_chg_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_pchg_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_chg_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_pchg_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_chg_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_iron_ore_cfr_spot_pchg_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_chg_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_pchg_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_chg_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_pchg_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_chg_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_australian_pchg_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_chg_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_pchg_1,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_chg_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_pchg_7,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_chg_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_coal_south_african_pchg_14,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_chg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_pchg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_chg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_pchg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_chg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_copper_pchg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_chg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_pchg_1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_chg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_pchg_7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_chg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mkt_aluminum_pchg_14,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_kdci_1d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_kdci_7d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_kdci_14d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_kdci_30d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_cape_1d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_cape_7d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_cape_14d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_cape_30d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_panamax_1d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_panamax_7d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_panamax_14d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_panamax_30d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_supramax_1d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_supramax_7d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_supramax_14d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_supramax_30d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_handy_1d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_handy_7d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_handy_14d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dir_handy_30d,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_event_count,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_geo_relevant_count,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_india_relevant_count,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_maritime_relevant_count,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_high_intensity_count,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_med_intensity_count,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_low_intensity_count,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_intensity,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_total_mentions,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_total_sources,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_total_articles,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_media_attention,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_max_media_attention,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_tone,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_min_tone,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_tone_negativity,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_max_tone_negativity,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_goldstein,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_min_goldstein,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_goldstein_magnitude,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_max_goldstein_magnitude,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_event_count_sum_3d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_geo_relevant_count_sum_3d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_india_relevant_count_sum_3d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_high_intensity_count_sum_3d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_intensity_ma_3d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_total_mentions_sum_3d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_tone_negativity_ma_3d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_goldstein_magnitude_ma_3d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_event_count_sum_7d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_geo_relevant_count_sum_7d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_india_relevant_count_sum_7d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_high_intensity_count_sum_7d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_intensity_ma_7d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_total_mentions_sum_7d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_tone_negativity_ma_7d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_goldstein_magnitude_ma_7d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_event_count_sum_14d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_geo_relevant_count_sum_14d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_india_relevant_count_sum_14d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_high_intensity_count_sum_14d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_intensity_ma_14d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_total_mentions_sum_14d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_tone_negativity_ma_14d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_goldstein_magnitude_ma_14d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_event_count_sum_30d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_geo_relevant_count_sum_30d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_india_relevant_count_sum_30d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_high_intensity_count_sum_30d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_intensity_ma_30d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_total_mentions_sum_30d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_tone_negativity_ma_30d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gdelt_mean_goldstein_magnitude_ma_30d,GDELT Macro Sentiment,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
